cluster_id,sequence,store_name,latitude,longitude,route_pattern
3,1,Origin,3.2053,101.5566,Origin -> DAMANSARA DAMAI ENTERPRISE (12pm-3pm close) -> RAYYAN SPEEDMART(MOHD LUKMAN) -> KAMPONG KOH SAUCE (M) SDN BHD - (DELIVERY BEFORE 12PM) -> K.I.P FRESH MART ( ALL DAY OPEN)
3,2,DAMANSARA DAMAI ENTERPRISE (12pm-3pm close),3.1893964,101.5883007,Origin -> DAMANSARA DAMAI ENTERPRISE (12pm-3pm close) -> RAYYAN SPEEDMART(MOHD LUKMAN) -> KAMPONG KOH SAUCE (M) SDN BHD - (DELIVERY BEFORE 12PM) -> K.I.P FRESH MART ( ALL DAY OPEN)
3,3,RAYYAN SPEEDMART(MOHD LUKMAN),3.1981898,101.5948604,Origin -> DAMANSARA DAMAI ENTERPRISE (12pm-3pm close) -> RAYYAN SPEEDMART(MOHD LUKMAN) -> KAMPONG KOH SAUCE (M) SDN BHD - (DELIVERY BEFORE 12PM) -> K.I.P FRESH MART ( ALL DAY OPEN)
3,4,KAMPONG KOH SAUCE (M) SDN BHD - (DELIVERY BEFORE 12PM),3.20282,101.604827,Origin -> DAMANSARA DAMAI ENTERPRISE (12pm-3pm close) -> RAYYAN SPEEDMART(MOHD LUKMAN) -> KAMPONG KOH SAUCE (M) SDN BHD - (DELIVERY BEFORE 12PM) -> K.I.P FRESH MART ( ALL DAY OPEN)
3,5,K.I.P FRESH MART ( ALL DAY OPEN),3.206097,101.607407,Origin -> DAMANSARA DAMAI ENTERPRISE (12pm-3pm close) -> RAYYAN SPEEDMART(MOHD LUKMAN) -> KAMPONG KOH SAUCE (M) SDN BHD - (DELIVERY BEFORE 12PM) -> K.I.P FRESH MART ( ALL DAY OPEN)
4,1,Origin,3.2053,101.5566,Origin -> KEDAI UBAT & RUNCIT HONG NING DESA AMAN PURI SDN BHD -> FOOK XIN TANG MINI MARKET SDN. BHD. (After 5pm: NO DELIVERY) -> JT FOOD MART -> JIN HUANG
4,2,KEDAI UBAT & RUNCIT HONG NING DESA AMAN PURI SDN BHD,3.212419,101.615643,Origin -> KEDAI UBAT & RUNCIT HONG NING DESA AMAN PURI SDN BHD -> FOOK XIN TANG MINI MARKET SDN. BHD. (After 5pm: NO DELIVERY) -> JT FOOD MART -> JIN HUANG
4,3,FOOK XIN TANG MINI MARKET SDN. BHD. (After 5pm: NO DELIVERY),3.212246,101.615597,Origin -> KEDAI UBAT & RUNCIT HONG NING DESA AMAN PURI SDN BHD -> FOOK XIN TANG MINI MARKET SDN. BHD. (After 5pm: NO DELIVERY) -> JT FOOD MART -> JIN HUANG
4,4,JT FOOD MART,3.183989,101.613656,Origin -> KEDAI UBAT & RUNCIT HONG NING DESA AMAN PURI SDN BHD -> FOOK XIN TANG MINI MARKET SDN. BHD. (After 5pm: NO DELIVERY) -> JT FOOD MART -> JIN HUANG
4,5,JIN HUANG,3.183931,101.613617,Origin -> KEDAI UBAT & RUNCIT HONG NING DESA AMAN PURI SDN BHD -> FOOK XIN TANG MINI MARKET SDN. BHD. (After 5pm: NO DELIVERY) -> JT FOOD MART -> JIN HUANG
5,1,Origin,3.2053,101.5566,Origin -> FOONG YUEN DIM SUM SDN BHD -> BIG TREE CORNER -> KINDNESS ENTERPRISE -> JODAN WORLD SDN BHD
5,2,FOONG YUEN DIM SUM SDN BHD,3.210003,101.6172518,Origin -> FOONG YUEN DIM SUM SDN BHD -> BIG TREE CORNER -> KINDNESS ENTERPRISE -> JODAN WORLD SDN BHD
5,3,BIG TREE CORNER,3.219705044,101.6294093,Origin -> FOONG YUEN DIM SUM SDN BHD -> BIG TREE CORNER -> KINDNESS ENTERPRISE -> JODAN WORLD SDN BHD
5,4,KINDNESS ENTERPRISE,3.201396,101.631682,Origin -> FOONG YUEN DIM SUM SDN BHD -> BIG TREE CORNER -> KINDNESS ENTERPRISE -> JODAN WORLD SDN BHD
5,5,JODAN WORLD SDN BHD,3.215355,101.639214,Origin -> FOONG YUEN DIM SUM SDN BHD -> BIG TREE CORNER -> KINDNESS ENTERPRISE -> JODAN WORLD SDN BHD
6,1,Origin,3.2053,101.5566,Origin -> BINTANG HU TRADING (FRIDAY CLOSED) -> NASABE ENTERPRISE (12pm-3pm close) -> RESTORAN NURI AL NISAR
6,2,BINTANG HU TRADING (FRIDAY CLOSED),3.2073436,101.4969526,Origin -> BINTANG HU TRADING (FRIDAY CLOSED) -> NASABE ENTERPRISE (12pm-3pm close) -> RESTORAN NURI AL NISAR
6,3,NASABE ENTERPRISE (12pm-3pm close),3.2250317,101.4981694,Origin -> BINTANG HU TRADING (FRIDAY CLOSED) -> NASABE ENTERPRISE (12pm-3pm close) -> RESTORAN NURI AL NISAR
6,4,RESTORAN NURI AL NISAR,3.2032786,101.4843394,Origin -> BINTANG HU TRADING (FRIDAY CLOSED) -> NASABE ENTERPRISE (12pm-3pm close) -> RESTORAN NURI AL NISAR
7,1,Origin,3.2053,101.5566,Origin -> FALAM ENTERPRISE (PASAR MINI SIRAJANE) -> YOW SENG SDN BHD -> PANTAI SELAMAT (IM) S/B -> SEMAQ IQHLAS SDN BHD
7,2,FALAM ENTERPRISE (PASAR MINI SIRAJANE),3.1673444,101.5674932,Origin -> FALAM ENTERPRISE (PASAR MINI SIRAJANE) -> YOW SENG SDN BHD -> PANTAI SELAMAT (IM) S/B -> SEMAQ IQHLAS SDN BHD
7,3,YOW SENG SDN BHD,3.1881,101.573155,Origin -> FALAM ENTERPRISE (PASAR MINI SIRAJANE) -> YOW SENG SDN BHD -> PANTAI SELAMAT (IM) S/B -> SEMAQ IQHLAS SDN BHD
7,4,PANTAI SELAMAT (IM) S/B,3.188202,101.573154,Origin -> FALAM ENTERPRISE (PASAR MINI SIRAJANE) -> YOW SENG SDN BHD -> PANTAI SELAMAT (IM) S/B -> SEMAQ IQHLAS SDN BHD
7,5,SEMAQ IQHLAS SDN BHD,3.188219,101.57318,Origin -> FALAM ENTERPRISE (PASAR MINI SIRAJANE) -> YOW SENG SDN BHD -> PANTAI SELAMAT (IM) S/B -> SEMAQ IQHLAS SDN BHD
8,1,Origin,3.2053,101.5566,Origin -> OLIVAS BAKERY INGREDIENTS SDN BHD -> YOW SENG SDN BHD -> PASA RAYA TOP CIRCUITS SDN BHD -> KS MART SDN BHD
8,2,OLIVAS BAKERY INGREDIENTS SDN BHD,3.1881,101.573205,Origin -> OLIVAS BAKERY INGREDIENTS SDN BHD -> YOW SENG SDN BHD -> PASA RAYA TOP CIRCUITS SDN BHD -> KS MART SDN BHD
8,3,YOW SENG SDN BHD,3.1881,101.573155,Origin -> OLIVAS BAKERY INGREDIENTS SDN BHD -> YOW SENG SDN BHD -> PASA RAYA TOP CIRCUITS SDN BHD -> KS MART SDN BHD
8,4,PASA RAYA TOP CIRCUITS SDN BHD,3.1882925,101.5686546,Origin -> OLIVAS BAKERY INGREDIENTS SDN BHD -> YOW SENG SDN BHD -> PASA RAYA TOP CIRCUITS SDN BHD -> KS MART SDN BHD
8,5,KS MART SDN BHD,3.197716,101.568073,Origin -> OLIVAS BAKERY INGREDIENTS SDN BHD -> YOW SENG SDN BHD -> PASA RAYA TOP CIRCUITS SDN BHD -> KS MART SDN BHD
9,1,Origin,3.2053,101.5566,Origin -> FK SALMA ENTERPRISE -> RESTORAN SERI RASA -> ENG SIANG GROCER -> ASIAN DINE SDN BHD
9,2,FK SALMA ENTERPRISE,3.1905493,101.565561,Origin -> FK SALMA ENTERPRISE -> RESTORAN SERI RASA -> ENG SIANG GROCER -> ASIAN DINE SDN BHD
9,3,RESTORAN SERI RASA,3.1905466,101.5658297,Origin -> FK SALMA ENTERPRISE -> RESTORAN SERI RASA -> ENG SIANG GROCER -> ASIAN DINE SDN BHD
9,4,ENG SIANG GROCER,3.1968201,101.5667535,Origin -> FK SALMA ENTERPRISE -> RESTORAN SERI RASA -> ENG SIANG GROCER -> ASIAN DINE SDN BHD
9,5,ASIAN DINE SDN BHD,3.187566,101.571467,Origin -> FK SALMA ENTERPRISE -> RESTORAN SERI RASA -> ENG SIANG GROCER -> ASIAN DINE SDN BHD
10,1,Origin,3.2053,101.5566,Origin -> SUN THONG HING SDN BHD -> ST.MARK'S COZY HOME -> PASAR MINI KURNIA MAJU - JUMAAT TUTUP -> SUNGAI BULOH/SETAPAK nearby continuation
10,2,SUN THONG HING SDN BHD,3.196536,101.567435,Origin -> SUN THONG HING SDN BHD -> ST.MARK'S COZY HOME -> PASAR MINI KURNIA MAJU - JUMAAT TUTUP -> SUNGAI BULOH/SETAPAK nearby continuation
10,3,ST.MARK'S COZY HOME,3.197425,101.56801,Origin -> SUN THONG HING SDN BHD -> ST.MARK'S COZY HOME -> PASAR MINI KURNIA MAJU - JUMAAT TUTUP -> SUNGAI BULOH/SETAPAK nearby continuation
10,4,PASAR MINI KURNIA MAJU - JUMAAT TUTUP,3.1984813,101.5670179,Origin -> SUN THONG HING SDN BHD -> ST.MARK'S COZY HOME -> PASAR MINI KURNIA MAJU - JUMAAT TUTUP -> SUNGAI BULOH/SETAPAK nearby continuation
